id,name,type,mimeType,driveId,driveName,parent_id,full_path,createdTime
13foN9coNQWLr9IG_cLeobvtWoGyD9zvjsmiNIhN0RLE,펀드팀 업무분장_202505~,file,application/vnd.google-apps.spreadsheet,0ADRmYMCfHI3HUk9PVA,투자실(권한 주의),14oeRGK67wsMT3CYTqjYTuxxkroOjV_Nk,/투자실(권한 주의)/03. 펀드팀/★01. 운영 관리/업무 관리/펀드팀 업무분장_202505~,2025-05-22T01:17:10.711Z
1D_2HQZE0VpSrGf6kWkF-llpPUFF6Q5fu,(260128) 은행권청년창업재단 위탁투자기업 이수관 완료 및 후속 처리 협조 요청(안)_디캠프초안.hwp,file,application/haansofthwp,0ADRmYMCfHI3HUk9PVA,투자실(권한 주의),1yRwVmw1TIIW7ZyRnJP9ZAUrq8YxNKbrL,/투자실(권한 주의)/01. 투자전략팀/03. 신규 기획 및 운영/2025/13. 위탁투자 이관/6. 이수관완료공문초안(기술보증기금-디캠프)/(260128) 은행권청년창업재단 위탁투자기업 이수관 완료 및 후속 처리 협조 요청(안)_디캠프초안.hwp,2026-01-28T07:16:03.948Z
1CxIziaaht9w8GhdulnR_jLi72uFR33wnT_8WyO4KRSM,[간투] 출자검토 현황_펀드팀용,file,application/vnd.google-apps.spreadsheet,0ADRmYMCfHI3HUk9PVA,투자실(권한 주의),1DG_cjQIyxjSu-EWiqb-DXxA_afqMKZL0,/투자실(권한 주의)/03. 펀드팀/★02. 출자 관리 및 검토/02. 검토/[간투] 출자검토 현황_펀드팀용,2024-08-26T10:17:27.558Z
1yRwVmw1TIIW7ZyRnJP9ZAUrq8YxNKbrL,6. 이수관완료공문초안(기술보증기금-디캠프),folder,application/vnd.google-apps.folder,0ADRmYMCfHI3HUk9PVA,투자실(권한 주의),1gEZf83_dKo6m2CZf_-WRPhyfZ1Ld4owS,/투자실(권한 주의)/01. 투자전략팀/03. 신규 기획 및 운영/2025/13. 위탁투자 이관/6. 이수관완료공문초안(기술보증기금-디캠프),2026-01-28T07:14:26.447Z
1tf8N_pKvF4YsX_XPkAmG6BYHmYwBY1k9,"5. 공문최종(신용보증기금, 기술보증기금-디캠프)",folder,application/vnd.google-apps.folder,0ADRmYMCfHI3HUk9PVA,투자실(권한 주의),1gEZf83_dKo6m2CZf_-WRPhyfZ1Ld4owS,"/투자실(권한 주의)/01. 투자전략팀/03. 신규 기획 및 운영/2025/13. 위탁투자 이관/5. 공문최종(신용보증기금, 기술보증기금-디캠프)",2025-11-04T08:06:23.386Z
1Dfngb99oyBh01VAzTn9doIMirv8WO2vM,4. 공문수정(기술보증기금&신용보증기금- 디캠프),folder,application/vnd.google-apps.folder,0ADRmYMCfHI3HUk9PVA,투자실(권한 주의),1gEZf83_dKo6m2CZf_-WRPhyfZ1Ld4owS,/투자실(권한 주의)/01. 투자전략팀/03. 신규 기획 및 운영/2025/13. 위탁투자 이관/4. 공문수정(기술보증기금&신용보증기금- 디캠프),2025-10-14T01:48:28.916Z
16_UOB4hpV0pZ-gVN92ZvEXAn1wCak_r9,3. 위탁투자기업_투자심사위원회 결과 등 스캔자료,folder,application/vnd.google-apps.folder,0ADRmYMCfHI3HUk9PVA,투자실(권한 주의),1gEZf83_dKo6m2CZf_-WRPhyfZ1Ld4owS,/투자실(권한 주의)/01. 투자전략팀/03. 신규 기획 및 운영/2025/13. 위탁투자 이관/3. 위탁투자기업_투자심사위원회 결과 등 스캔자료,2025-11-19T00:02:28.384Z
1t6Et28EtOl-Kk1KrNi1zpdwguN3ZXrC4,2. 공문초안(디캠프->기술보증기금),folder,application/vnd.google-apps.folder,0ADRmYMCfHI3HUk9PVA,투자실(권한 주의),1gEZf83_dKo6m2CZf_-WRPhyfZ1Ld4owS,/투자실(권한 주의)/01. 투자전략팀/03. 신규 기획 및 운영/2025/13. 위탁투자 이관/2. 공문초안(디캠프->기술보증기금),2025-09-22T02:37:32.484Z
1ZJdEwbVaBOKePk1NU8Xy-ZNTofIhJ4ik,"1. 재무정보 일치 확인(수수료납입, 통장잔액)",folder,application/vnd.google-apps.folder,0ADRmYMCfHI3HUk9PVA,투자실(권한 주의),1gEZf83_dKo6m2CZf_-WRPhyfZ1Ld4owS,"/투자실(권한 주의)/01. 투자전략팀/03. 신규 기획 및 운영/2025/13. 위탁투자 이관/1. 재무정보 일치 확인(수수료납입, 통장잔액)",2025-09-03T00:42:39.653Z
1AlADAvWT-QWP7hELloy32KJM_xg9QosH,재단연관기업 및 배치팀 리스트.xlsx,file,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,0ADRmYMCfHI3HUk9PVA,투자실(권한 주의),1X8-36VSyQBga_D1qUEpGB95TY99s924P,/투자실(권한 주의)/03. 펀드팀/09. 기타/재단연관기업 및 배치팀 리스트.xlsx,2025-12-15T12:34:51.515Z
1-cP-jumbKzwhO3onGBrI7mUWdWwUzd5e39hdTdIo5Ec,25년 반기 기준 사후관리등급(최종)_재무팀 공유용,file,application/vnd.google-apps.spreadsheet,0ADRmYMCfHI3HUk9PVA,투자실(권한 주의),1CGX-dKRa2XGxJ7hzfZBeew6aejUnZr85,/투자실(권한 주의)/01. 투자전략팀/08. 영업보고서(반기별)&회계감사자료(매년 1월)/05. 25년 반기 영업보고서(25년 06월말 기준)_25.09 요청/25년 반기 기준 사후관리등급(최종)_재무팀 공유용,2025-11-07T07:42:08.951Z
1DHjqS3ETlmAgTZQNIFcpGrDVaGB7tnMIoMklHrHBy8A,[지클로]산업분석,file,application/vnd.google-apps.document,0ADRmYMCfHI3HUk9PVA,투자실(권한 주의),1dKHWN99teKIYoET6ftepIWOsnQvUxsq2,/투자실(권한 주의)/02. 투자팀/13. 직투팀 인턴/16기 김진하/공부/리서치/[지클로]산업분석,2026-01-26T09:01:02.601Z
